class_name,id_num,AR,EC,HS,LT,MS,MS*,PSA,PSI,RP
AF_AM_ST,210,0,0,0,1,0,0,0,0,0
AF_AM_ST,212,0,0,1,0,0,0,0,0,0
AF_AM_ST,214,0,0,1,0,0,0,0,0,0
AF_AM_ST,215,0,0,1,0,0,0,0,0,0
AF_AM_ST,220,0,0,1,0,0,0,0,0,0
AF_AM_ST,225,0,0,1,0,0,0,0,0,0
AF_AM_ST,226,0,0,1,0,0,0,0,0,0
AF_AM_ST,236,0,0,1,0,0,0,0,0,0
AF_AM_ST,245,0,0,1,0,0,0,0,0,0
AF_AM_ST,259,0,0,0,1,0,0,0,0,0
AF_AM_ST,316,0,0,0,1,0,0,0,0,0
AF_AM_ST,319,0,0,0,0,0,0,1,0,0
AF_AM_ST,325,0,0,0,0,0,0,1,0,0
AF_AM_ST,327,0,0,0,1,0,0,0,0,0
AF_AM_ST,330,0,0,1,0,0,0,0,0,0
AF_AM_ST,331,0,0,0,1,0,0,0,0,0
AF_AM_ST,332,0,0,0,1,0,0,0,0,0
AF_AM_ST,335,0,0,0,1,0,0,0,0,0
AF_AM_ST,342,0,0,1,0,0,0,0,0,0
AF_AM_ST,345,0,0,0,0,0,0,0,1,0
AF_AM_ST,348,0,0,1,0,0,0,0,0,0
AF_AM_ST,350,0,0,0,1,0,0,0,0,0
AF_AM_ST,358,0,0,1,0,0,0,0,0,0
AF_AM_ST,360,0,0,0,1,0,0,0,0,0
AF_AM_ST,365,0,0,1,0,0,0,0,0,0
AF_AM_ST,370,0,0,1,0,0,0,0,0,0
AF_AM_ST,378,0,0,0,1,0,0,0,0,0
AF_AM_ST,379,0,0,0,1,0,0,0,0,0
AF_AM_ST,381,0,0,0,1,0,0,0,0,0
ANTHRO,213,0,0,0,0,1,0,0,0,0
ANTHRO,220,0,0,0,0,0,0,0,0,1
ANTHRO,306,0,0,0,0,1,0,0,0,0
ANTHRO,310,0,0,0,0,1,0,0,0,0
ANTHRO,312,0,0,0,0,1,0,0,0,0
ANTHRO,313,0,0,0,0,1,0,0,0,0
ANTHRO,314,0,0,0,0,1,0,0,0,0
ANTHRO,315,0,0,0,0,1,0,0,0,0
ANTHRO,317,0,0,0,0,1,0,0,0,0
ANTHRO,341,0,1,0,0,0,0,0,0,0
ANTHRO,347,0,0,0,0,0,0,0,1,0
ANTHRO,350,0,0,0,0,0,0,0,0,1
ANTHRO,362,0,0,0,0,0,1,0,0,0
ART,120,1,0,0,0,0,0,0,0,0
ART,124,1,0,0,0,0,0,0,0,0
ART,125,1,0,0,0,0,0,0,0,0
ART,130,1,0,0,0,0,0,0,0,0
ART,140,1,0,0,0,0,0,0,0,0
ART,150,1,0,0,0,0,0,0,0,0
ART,210,1,0,0,0,0,0,0,0,0
ART,222,1,0,0,0,0,0,0,0,0
ART,225,1,0,0,0,0,0,0,0,0
ART,230,1,0,0,0,0,0,0,0,0
ART,240,1,0,0,0,0,0,0,0,0
ART,250,1,0,0,0,0,0,0,0,0
ART,260,1,0,0,0,0,0,0,0,0
ART,270,1,0,0,0,0,0,0,0,0
ART,272,1,0,0,0,0,0,0,0,0
ART,280,1,0,0,0,0,0,0,0,0
ART,310,1,0,0,0,0,0,0,0,0
ART,322,1,0,0,0,0,0,0,0,0
ART,340,1,0,0,0,0,0,0,0,0
ART,372,1,0,0,0,0,0,0,0,0
ART,380,1,0,0,0,0,0,0,0,0
ART,390,1,0,0,0,0,0,0,0,0
ART,399,1,0,0,0,0,0,0,0,0
ART_HIST,220,1,0,0,0,0,0,0,0,0
ART_HIST,230,1,0,0,0,0,0,0,0,0
ART_HIST,255,1,0,0,0,0,0,0,0,0
ART_HIST,260,1,0,0,0,0,0,0,0,0
ART_HIST,319,1,0,0,0,0,0,0,0,0
ART_HIST,320,1,0,0,0,0,0,0,0,0
ART_HIST,350,1,0,0,0,0,0,0,0,0
ART_HIST,370,1,0,0,0,0,0,0,0,0
ART_HIST,372,1,0,0,0,0,0,0,0,0
ART_HIST,378,1,0,0,0,0,0,0,0,0
ART_HIST,389,1,0,0,0,0,0,0,0,0
ART_HIST,390,1,0,0,0,0,0,0,0,0
ART_HIST,391,1,0,0,0,0,0,0,0,0
ART_HIST,395,1,0,0,0,0,0,0,0,0
ART_HIST,401,1,0,0,0,0,0,0,0,0
ART_HIST,402,1,0,0,0,0,0,0,0,0
ART_HIST,410,1,0,0,0,0,0,0,0,0
ART_HIST,440,1,0,0,0,0,0,0,0,0
ART_HIST,460,1,0,0,0,0,0,0,0,0
ART_HIST,470,1,0,0,0,0,0,0,0,0
ART_HIST,480,1,0,0,0,0,0,0,0,0
ASIAN_AM,218,0,0,1,1,0,0,0,0,0
ASIAN_AM,275,0,0,1,1,0,0,0,0,0
ASTRON,101,0,0,0,0,1,0,0,0,0
ASTRON,102,0,0,0,0,1,0,0,0,0
ASTRON,103,0,0,0,0,1,0,0,0,0
ASTRON,111,0,0,0,0,1,0,0,0,0
ASTRON,120,0,0,0,0,1,0,0,0,0
ASTRON,130,0,0,0,0,1,0,0,0,0
ASTRON,220,0,0,0,0,1,0,0,0,0
ASTRON,321,0,0,0,0,1,0,0,0,0
ASTRON,325,0,0,0,0,1,0,0,0,0
ASTRON,329,0,0,0,0,1,0,0,0,0
ASTRON,331,0,0,0,0,1,0,0,0,0
ASTRON,399,0,0,0,0,1,0,0,0,0
BIOL_SCI,101,0,0,0,0,1,0,0,0,0
BIOL_SCI,102,0,0,0,0,1,0,0,0,0
BIOL_SCI,103,0,0,0,0,1,0,0,0,0
BIOL_SCI,104,0,0,0,0,1,0,0,0,0
BIOL_SCI,105,0,0,0,0,1,0,0,0,0
BIOL_SCI,109,0,0,0,0,1,0,0,0,0
BIOL_SCI,115,0,0,0,0,1,0,0,0,0
BIOL_SCI,116,0,0,0,0,1,0,0,0,0
BIOL_SCI,116,0,0,0,0,1,0,0,0,0
BIOL_SCI,215,0,0,0,0,1,0,0,0,0
BIOL_SCI,216,0,0,0,0,1,0,0,0,0
BIOL_SCI,217,0,0,0,0,1,0,0,0,0
BIOL_SCI,218,0,0,0,0,1,0,0,0,0
BIOL_SCI,220,0,0,0,0,1,0,0,0,0
BIOL_SCI,221,0,0,0,0,1,0,0,0,0
BIOL_SCI,222,0,0,0,0,1,0,0,0,0
BIOL_SCI,240,0,0,0,0,1,0,0,0,0
BIOL_SCI,241,0,0,0,0,1,0,0,0,0
BIOL_SCI,302,0,0,0,0,1,0,0,0,0
BIOL_SCI,303,0,0,0,0,1,0,0,0,0
BIOL_SCI,304,0,0,0,0,1,0,0,0,0
BIOL_SCI,305,0,0,0,0,1,0,0,0,0
BIOL_SCI,306,0,0,0,0,1,0,0,0,0
BIOL_SCI,309,0,0,0,0,1,0,0,0,0
BIOL_SCI,310,0,0,0,0,1,0,0,0,0
BIOL_SCI,311,0,0,0,0,1,0,0,0,0
BIOL_SCI,313,0,0,0,0,1,0,0,0,0
BIOL_SCI,315,0,0,0,0,1,0,0,0,0
BIOL_SCI,316,0,0,0,0,1,0,0,0,0
BIOL_SCI,321,0,0,0,0,1,0,0,0,0
BIOL_SCI,322,0,0,0,0,1,0,0,0,0
BIOL_SCI,323,0,0,0,0,1,0,0,0,0
BIOL_SCI,324,0,0,0,0,1,0,0,0,0
BIOL_SCI,325,0,0,0,0,1,0,0,0,0
BIOL_SCI,326,0,0,0,0,1,0,0,0,0
BIOL_SCI,327,0,0,0,0,1,0,0,0,0
BIOL_SCI,330,0,0,0,0,1,0,0,0,0
BIOL_SCI,332,0,0,0,0,1,0,0,0,0
BIOL_SCI,335,0,0,0,0,1,0,0,0,0
BIOL_SCI,341,0,0,0,0,1,0,0,0,0
BIOL_SCI,342,0,0,0,0,1,0,0,0,0
BIOL_SCI,344,0,0,0,0,1,0,0,0,0
BIOL_SCI,346,0,0,0,0,1,0,0,0,0
BIOL_SCI,347,0,0,0,0,1,0,0,0,0
BIOL_SCI,349,0,0,0,0,1,0,0,0,0
BIOL_SCI,350,0,0,0,0,1,0,0,0,0
BIOL_SCI,355,0,0,0,0,1,0,0,0,0
BIOL_SCI,358,0,0,0,0,1,0,0,0,0
BIOL_SCI,361,0,0,0,0,1,0,0,0,0
BIOL_SCI,378,0,0,0,0,1,0,0,0,0
BIOL_SCI,380,0,0,0,0,1,0,0,0,0
BIOL_SCI,390,0,0,0,0,1,0,0,0,0
BIOL_SCI,391,0,0,0,0,1,0,0,0,0
BIOL_SCI,392,0,0,0,0,1,0,0,0,0
BIOL_SCI,395,0,0,0,0,1,0,0,0,0
BMD_ENG,220,0,0,0,0,0,1,0,0,0
CHEM,101,0,0,0,0,1,0,0,0,0
CHEM,102,0,0,0,0,1,0,0,0,0
CHEM,103,0,0,0,0,1,0,0,0,0
CHEM,171,0,0,0,0,1,0,0,0,0
CHEM,172,0,0,0,0,1,0,0,0,0
CHEM,201,0,0,0,0,1,0,0,0,0
CHEM,212,0,0,0,0,1,0,0,0,0
CHEM,220,0,0,0,0,1,0,0,0,0
CHEM,301,0,0,0,0,1,0,0,0,0
CHEM,302,0,0,0,0,1,0,0,0,0
CHEM,303,0,0,0,0,1,0,0,0,0
CHEM,305,0,0,0,0,1,0,0,0,0
CHEM,306,0,0,0,0,1,0,0,0,0
CHEM,307,0,0,0,0,1,0,0,0,0
CHEM,308,0,0,0,0,1,0,0,0,0
CHEM,314,0,0,0,0,1,0,0,0,0
CHEM,316,0,0,0,0,1,0,0,0,0
CHEM,329,0,0,0,0,1,0,0,0,0
CHEM,333,0,0,0,0,1,0,0,0,0
CHEM,342,0,0,0,0,1,0,0,0,0
CHEM,348,0,0,0,0,1,0,0,0,0
CHEM,350,0,0,0,0,1,0,0,0,0
CHEM,360,0,0,0,0,1,0,0,0,0
CHEM,380,0,0,0,0,1,0,0,0,0
CHEM,393,0,0,0,0,1,0,0,0,0
CHEM,398,0,0,0,0,1,0,0,0,0
CHEM,399,0,0,0,0,1,0,0,0,0
CIV_ENG,206,0,0,0,0,1,0,0,0,0
CLASSICS,210,0,0,1,0,0,0,0,0,0
CLASSICS,211,0,0,1,1,0,0,0,0,0
CLASSICS,212,0,0,1,0,0,0,0,0,0
CLASSICS,240,0,0,0,1,0,0,0,0,0
CLASSICS,244,0,0,0,1,0,0,0,0,0
CLASSICS,260,0,0,0,1,0,0,0,0,1
CLASSICS,321,0,0,1,0,0,0,0,0,0
CLASSICS,340,0,0,0,1,0,0,0,0,0
CLASSICS,345,0,0,0,1,0,0,0,0,0
CLASSICS,392,0,0,1,0,0,0,0,0,0
CLASSICS,394,0,0,0,1,0,0,0,0,0
COG_SCI,210,0,0,0,0,1,0,0,0,0
COG_SCI,211,0,0,0,0,1,0,0,0,0
COMM_ST,322,0,0,0,0,0,0,1,0,0
COMM_ST,325,0,0,1,0,0,0,0,0,0
COMM_ST,380,0,0,0,0,0,0,1,0,0
COMP_LIT,104,0,0,0,1,0,0,0,0,0
COMP_LIT,201,0,0,0,1,0,0,0,0,0
COMP_LIT,202,0,0,0,1,0,0,0,0,0
COMP_LIT,205,0,0,0,1,0,0,0,0,0
COMP_LIT,206,0,0,0,1,0,0,0,0,0
COMP_LIT,207,0,0,0,1,0,0,0,0,0
COMP_LIT,210,0,0,0,1,0,0,0,0,1
COMP_LIT,211,0,0,0,1,0,0,0,0,0
COMP_LIT,271,0,0,0,1,0,0,0,0,0
COMP_LIT,274,0,0,0,1,0,0,0,0,0
COMP_LIT,278,0,0,0,1,0,0,0,0,0
COMP_LIT,279,0,0,0,1,0,0,0,0,1
COMP_LIT,301,0,0,0,1,0,0,0,0,0
COMP_LIT,302,0,0,0,1,0,0,0,0,0
COMP_LIT,304,0,0,0,1,0,0,0,0,0
COMP_LIT,311,0,0,0,1,0,0,0,0,0
COMP_LIT,312,0,0,0,1,0,0,0,0,0
COMP_LIT,314,0,0,0,1,0,0,0,0,0
COMP_LIT,375,0,0,0,1,0,0,0,0,0
COMP_LIT,383,0,0,0,1,0,0,0,0,0
COMP_LIT,390,0,0,0,1,0,0,0,0,0
COMP_LIT,398,0,0,0,1,0,0,0,0,0
COMP_LIT,410,0,0,0,1,0,0,0,0,0
COMP_LIT,411,0,0,0,1,0,0,0,0,0
COMP_LIT,412,0,0,0,1,0,0,0,0,0
COMP_LIT,413,0,0,0,1,0,0,0,0,0
COMP_LIT,414,0,0,0,1,0,0,0,0,0
COMP_LIT,481,0,0,0,1,0,0,0,0,0
COMP_LIT,486,0,0,0,1,0,0,0,0,0
COMP_LIT,487,0,0,0,1,0,0,0,0,0
COMP_LIT,488,0,0,0,1,0,0,0,0,0
EARTH,101,0,0,0,0,1,0,0,0,0
EARTH,102,0,0,0,0,1,0,0,0,0
EARTH,103,0,0,0,0,1,0,0,0,0
EARTH,105,0,0,0,0,1,0,0,0,0
EARTH,106,0,0,0,0,1,0,0,0,0
EARTH,107,0,0,0,0,1,0,0,0,0
EARTH,108,0,0,0,0,1,0,0,0,0
EARTH,110,0,0,0,0,1,0,0,0,0
EARTH,111,0,0,0,0,1,0,0,0,0
EARTH,114,0,0,0,0,1,0,0,0,0
EARTH,201,0,0,0,0,1,0,0,0,0
EARTH,202,0,0,0,0,1,0,0,0,0
EARTH,203,0,0,0,0,1,0,0,0,0
EARTH,300,0,0,0,0,1,0,0,0,0
EARTH,301,0,0,0,0,1,0,0,0,0
EARTH,302,0,0,0,0,1,0,0,0,0
EARTH,310,0,0,0,0,1,0,0,0,0
EARTH,311,0,0,0,0,1,0,0,0,0
EARTH,312,0,0,0,0,1,0,0,0,0
EARTH,313,0,0,0,0,1,0,0,0,0
EARTH,314,0,0,0,0,1,0,0,0,0
EARTH,315,0,0,0,0,1,0,0,0,0
EARTH,316,0,0,0,0,1,0,0,0,0
EARTH,317,0,0,0,0,1,0,0,0,0
EARTH,320,0,0,0,0,1,0,0,0,0
EARTH,321,0,0,0,0,1,0,0,0,0
EARTH,322,0,0,0,0,1,0,0,0,0
EARTH,323,0,0,0,0,1,0,0,0,0
EARTH,324,0,0,0,0,1,0,0,0,0
EARTH,325,0,0,0,0,1,0,0,0,0
EARTH,326,0,0,0,0,1,0,0,0,0
EARTH,327,0,0,0,0,1,0,0,0,0
EARTH,328,0,0,0,0,1,0,0,0,0
EARTH,329,0,0,0,0,1,0,0,0,0
EARTH,330,0,0,0,0,1,0,0,0,0
EARTH,331,0,0,0,0,1,0,0,0,0
EARTH,340,0,0,0,0,1,0,0,0,0
EARTH,341,0,0,0,0,1,0,0,0,0
EARTH,342,0,0,0,0,1,0,0,0,0
EARTH,350,0,0,0,0,1,0,0,0,0
EARTH,351,0,0,0,0,1,0,0,0,0
EARTH,360,0,0,0,0,1,0,0,0,0
EARTH,390,0,0,0,0,1,0,0,0,0
EARTH,398,0,0,0,0,1,0,0,0,0
EARTH,399,0,0,0,0,1,0,0,0,0
ECON,101,0,1,0,0,0,0,0,0,0
ECON,201,0,1,0,0,0,0,0,0,0
ECON,202,0,1,0,0,0,0,0,0,0
ECON,250,0,1,0,0,0,0,0,0,0
ECON,281,0,1,0,0,0,0,0,0,0
ECON,307,0,1,0,0,0,0,0,0,0
ECON,308,0,1,0,0,0,0,0,0,0
ECON,309,0,1,0,0,0,0,0,0,0
ECON,310,0,1,0,0,0,0,0,0,0
ECON,311,0,1,0,0,0,0,0,0,0
ECON,316,0,1,0,0,0,0,0,0,0
ECON,318,0,1,0,0,0,0,0,0,0
ECON,323,0,1,0,0,0,0,0,0,0
ECON,324,0,1,0,0,0,0,0,0,0
ECON,325,0,1,0,0,0,0,0,0,0
ECON,326,0,1,0,0,0,0,0,0,0
ECON,329,0,1,0,0,0,0,0,0,0
ECON,330,0,1,0,0,0,0,0,0,0
ECON,331,0,1,0,0,0,0,0,0,0
ECON,335,0,1,0,0,0,0,0,0,0
ECON,337,0,1,0,0,0,0,0,0,0
ECON,339,0,1,0,0,0,0,0,0,0
ECON,342,0,1,0,0,0,0,0,0,0
ECON,349,0,1,0,0,0,0,0,0,0
ECON,350,0,1,0,0,0,0,0,0,0
ECON,355,0,1,0,0,0,0,0,0,0
ECON,359,0,1,0,0,0,0,0,0,0
ECON,360,0,1,0,0,0,0,0,0,0
ECON,361,0,1,0,0,0,0,0,0,0
ECON,362,0,1,0,0,0,0,0,0,0
ECON,370,0,1,0,0,0,0,0,0,0
ECON,380,0,1,0,0,0,0,0,0,0
ECON,381,0,1,0,0,0,0,0,0,0
ECON,383,0,1,0,0,0,0,0,0,0
ECON,398,0,1,0,0,0,0,0,0,0
EECS,100,0,0,0,0,1,0,0,0,0
EECS,101,0,0,0,0,1,0,0,0,0
EECS,110,0,0,0,0,1,0,0,0,0
EECS,111,0,0,0,0,1,0,0,0,0
EECS,120,0,0,0,0,1,0,0,0,0
EECS,130,0,0,0,0,1,0,0,0,0
EECS,202,0,0,0,0,1,0,0,0,0
EECS,203,0,0,0,0,1,0,0,0,0
EECS,205,0,0,0,0,1,0,0,0,0
EECS,211,0,0,0,0,1,0,0,0,0
EECS,212,0,0,0,0,1,0,0,0,0
EECS,213,0,0,0,0,1,0,0,0,0
EECS,214,0,0,0,0,1,0,0,0,0
EECS,221,0,0,0,0,1,0,0,0,0
EECS,222,0,0,0,0,1,0,0,0,0
EECS,223,0,0,0,0,1,0,0,0,0
EECS,224,0,0,0,0,1,0,0,0,0
EECS,225,0,0,0,0,1,0,0,0,0
EECS,230,0,0,0,0,1,0,0,0,0
EECS,250,0,0,0,0,1,0,0,0,0
EECS,295,0,0,0,0,1,0,0,0,0
EECS,302,0,0,0,0,1,0,0,0,0
EECS,303,0,0,0,0,1,0,0,0,0
EECS,307,0,0,0,0,1,0,0,0,0
EECS,313,0,0,0,0,1,0,0,0,0
EECS,317,0,0,0,0,1,0,0,0,0
EECS,321,0,0,0,0,1,0,0,0,0
EECS,322,0,0,0,0,1,0,0,0,0
EECS,325,0,0,0,0,1,0,0,0,0
EECS,328,0,0,0,0,1,0,0,0,0
EECS,330,0,0,0,0,1,0,0,0,0
EECS,332,0,0,0,0,1,0,0,0,0
EECS,333,0,0,0,0,1,0,0,0,0
EECS,334,0,0,0,0,1,0,0,0,0
EECS,335,0,0,0,0,1,0,0,0,0
EECS,336,0,0,0,0,1,0,0,0,0
EECS,337,0,0,0,0,1,0,0,0,0
EECS,338,0,0,0,0,1,0,0,0,0
EECS,339,0,0,0,0,1,0,0,0,0
EECS,340,0,0,0,0,1,0,0,0,0
EECS,343,0,0,0,0,1,0,0,0,0
EECS,345,0,0,0,0,1,0,0,0,0
EECS,346,0,0,0,0,1,0,0,0,0
EECS,347,0,0,0,0,1,0,0,0,0
EECS,348,0,0,0,0,1,0,0,0,0
EECS,349,0,0,0,0,1,0,0,0,0
EECS,350,0,0,0,0,1,0,0,0,0
EECS,351,0,0,0,0,1,0,0,0,0
EECS,352,0,0,0,0,1,0,0,0,0
EECS,354,0,0,0,0,1,0,0,0,0
EECS,355,0,0,0,0,1,0,0,0,0
EECS,357,0,0,0,0,1,0,0,0,0
EECS,358,0,0,0,0,1,0,0,0,0
EECS,359,0,0,0,0,1,0,0,0,0
EECS,360,0,0,0,0,1,0,0,0,0
EECS,361,0,0,0,0,1,0,0,0,0
EECS,362,0,0,0,0,1,0,0,0,0
EECS,363,0,0,0,0,1,0,0,0,0
EECS,366,0,0,0,0,1,0,0,0,0
EECS,368,0,0,0,0,1,0,0,0,0
EECS,369,0,0,0,0,1,0,0,0,0
EECS,370,0,0,0,0,1,0,0,0,0
EECS,371,0,0,0,0,1,0,0,0,0
EECS,372,0,0,0,0,1,0,0,0,0
EECS,374,0,0,0,0,1,0,0,0,0
EECS,378,0,0,0,0,1,0,0,0,0
EECS,379,0,0,0,0,1,0,0,0,0
EECS,380,0,0,0,0,1,0,0,0,0
EECS,381,0,0,0,0,1,0,0,0,0
EECS,382,0,0,0,0,1,0,0,0,0
EECS,383,0,0,0,0,1,0,0,0,0
EECS,384,0,0,0,0,1,0,0,0,0
EECS,385,0,0,0,0,1,0,0,0,0
EECS,386,0,0,0,0,1,0,0,0,0
EECS,388,0,0,0,0,1,0,0,0,0
EECS,389,0,0,0,0,1,0,0,0,0
EECS,390,0,0,0,0,1,0,0,0,0
EECS,391,0,0,0,0,1,0,0,0,0
EECS,392,0,0,0,0,1,0,0,0,0
EECS,394,0,0,0,0,1,0,0,0,0
EECS,395,0,0,0,0,1,0,0,0,0
ENGLISH,210,0,0,0,1,0,0,0,0,0
ENGLISH,211,0,0,0,1,0,0,0,0,0
ENGLISH,213,0,0,0,1,0,0,0,0,0
ENGLISH,234,0,0,0,1,0,0,0,0,0
ENGLISH,270,0,0,0,1,0,0,0,0,0
ENGLISH,273,0,0,0,1,0,0,0,0,0
ENGLISH,275,0,0,0,1,0,0,0,0,0
ENGLISH,277,0,0,0,1,0,0,0,0,0
ENGLISH,298,0,0,0,1,0,0,0,0,0
ENGLISH,311,0,0,0,1,0,0,0,0,0
